id,"text,image",sentiment
342,"neutral,positive",positive
343,"positive,neutral",positive
344,"negative,negative",negative
345,"neutral,negative",negative
346,"negative,positive",negative
347,"negative,negative",negative
348,"neutral,negative",negative
349,"negative,negative",negative
350,"positive,neutral",positive
351,"negative,positive",negative
352,"neutral,positive",positive
353,"positive,neutral",positive
354,"neutral,negative",negative
355,"neutral,positive",positive
356,"neutral,neutral",neutral
357,"neutral,positive",positive
358,"neutral,neutral",neutral
359,"neutral,positive",positive
360,"neutral,positive",positive
361,"negative,neutral",negative
362,"positive,negative",positive
363,"neutral,positive",positive
364,"neutral,negative",negative
365,"positive,positive",positive
366,"positive,positive",positive
367,"neutral,negative",negative
368,"positive,positive",positive
369,"positive,positive",positive
370,"negative,negative",negative
371,"negative,negative",negative
372,"neutral,positive",positive
373,"positive,negative",positive
374,"neutral,neutral",neutral
375,"neutral,negative",negative
376,"negative,neutral",negative
377,"neutral,negative",negative
378,"neutral,positive",positive
379,"neutral,negative",negative
380,"negative,positive",negative
381,"positive,neutral",positive
382,"negative,negative",negative
383,"negative,negative",negative
384,"negative,negative",negative
385,"negative,negative",negative
386,"positive,negative",positive
387,"negative,positive",negative
388,"negative,positive",negative
389,"neutral,negative",negative
390,"neutral,negative",negative
391,"negative,positive",negative
392,"negative,negative",negative
393,"neutral,positive",positive
394,"positive,positive",positive
395,"positive,positive",positive
396,"neutral,neutral",neutral
397,"negative,positive",negative
398,"negative,negative",negative
399,"neutral,positive",positive
400,"neutral,negative",negative
401,"neutral,positive",positive
402,"neutral,negative",negative
403,"positive,positive",positive
404,"negative,positive",negative
405,"neutral,neutral",neutral
406,"positive,positive",positive
407,"neutral,positive",positive
408,"positive,positive",positive
409,"positive,positive",positive
410,"positive,positive",positive
411,"positive,positive",positive
412,"neutral,positive",positive
413,"positive,negative",positive
414,"negative,neutral",negative
415,"positive,negative",positive
416,"positive,positive",positive
417,"positive,neutral",positive
418,"neutral,negative",negative
419,"neutral,positive",positive
420,"neutral,positive",positive
421,"negative,positive",negative
422,"negative,neutral",negative
423,"neutral,positive",positive
424,"neutral,neutral",neutral
425,"negative,negative",negative
426,"neutral,neutral",neutral
427,"neutral,positive",positive
428,"neutral,neutral",neutral
429,"positive,neutral",positive
430,"negative,negative",negative
431,"neutral,positive",positive
432,"neutral,positive",positive
433,"neutral,neutral",neutral
434,"neutral,positive",positive
435,"neutral,positive",positive
436,"neutral,neutral",neutral
437,"neutral,neutral",neutral
438,"positive,positive",positive
439,"neutral,positive",positive
440,"positive,positive",positive
441,"positive,positive",positive
442,"negative,negative",negative
443,"neutral,positive",positive
444,"positive,positive",positive
445,"positive,positive",positive
446,"negative,positive",negative
447,"positive,positive",positive
448,"neutral,negative",negative
449,"neutral,neutral",neutral
450,"negative,negative",negative
451,"negative,negative",negative
452,"neutral,negative",negative
453,"positive,negative",positive
454,"negative,negative",negative
455,"neutral,positive",positive
456,"positive,positive",positive
457,"negative,negative",negative
458,"negative,positive",negative
459,"negative,negative",negative
460,"negative,negative",negative
461,"negative,negative",negative
462,"positive,negative",positive
463,"positive,positive",positive
464,"negative,positive",negative
465,"positive,positive",positive
466,"positive,positive",positive
467,"positive,negative",positive
468,"positive,positive",positive
469,"positive,negative",positive
470,"positive,positive",positive
471,"positive,positive",positive
472,"positive,positive",positive
473,"negative,negative",negative
474,"positive,positive",positive
475,"positive,positive",positive
476,"positive,positive",positive
477,"positive,positive",positive
478,"positive,positive",positive
479,"negative,negative",negative
480,"positive,positive",positive
481,"neutral,positive",positive
482,"positive,positive",positive
483,"neutral,neutral",neutral
484,"negative,negative",negative
485,"negative,negative",negative
486,"negative,negative",negative
487,"negative,positive",negative
488,"positive,positive",positive
489,"negative,negative",negative
490,"positive,positive",positive
491,"positive,positive",positive
492,"positive,positive",positive
493,"positive,positive",positive
494,"positive,positive",positive
495,"positive,positive",positive
496,"neutral,positive",positive
497,"neutral,positive",positive
498,"positive,positive",positive
499,"positive,positive",positive
500,"positive,positive",positive
501,"positive,positive",positive
502,"neutral,neutral",neutral
503,"neutral,positive",positive
504,"neutral,positive",positive
505,"neutral,neutral",neutral
506,"neutral,positive",positive
507,"neutral,positive",positive
508,"positive,positive",positive
509,"positive,positive",positive
510,"neutral,positive",positive
511,"neutral,neutral",neutral
512,"neutral,positive",positive
513,"neutral,positive",positive
514,"neutral,positive",positive
515,"neutral,positive",positive
516,"neutral,neutral",neutral
517,"positive,neutral",positive
518,"positive,negative",positive
519,"positive,positive",positive
520,"positive,positive",positive
521,"positive,positive",positive
522,"positive,negative",positive
523,"neutral,positive",positive
524,"positive,positive",positive
525,"neutral,positive",positive
526,"neutral,positive",positive
527,"negative,positive",negative
528,"neutral,neutral",neutral
529,"negative,negative",negative
530,"neutral,positive",positive
531,"neutral,neutral",neutral
532,"neutral,positive",positive
533,"positive,positive",positive
534,"positive,positive",positive
535,"neutral,positive",positive
536,"neutral,positive",positive
537,"positive,positive",positive
538,"negative,positive",negative
539,"neutral,negative",negative
540,"positive,positive",positive
541,"positive,positive",positive
542,"negative,negative",negative
543,"negative,negative",negative
544,"neutral,positive",positive
545,"positive,positive",positive
546,"neutral,neutral",neutral
547,"positive,positive",positive
548,"neutral,positive",positive
549,"negative,positive",negative
550,"negative,negative",negative
551,"neutral,negative",negative
552,"neutral,neutral",neutral
553,"positive,positive",positive
554,"positive,positive",positive
555,"positive,positive",positive
556,"positive,positive",positive
557,"positive,neutral",positive
558,"negative,negative",negative
559,"negative,neutral",negative
560,"neutral,positive",positive
561,"neutral,positive",positive
562,"positive,positive",positive
563,"neutral,positive",positive
564,"positive,positive",positive
565,"positive,positive",positive
566,"negative,negative",negative
567,"negative,positive",negative
568,"negative,negative",negative
569,"positive,positive",positive
570,"positive,positive",positive
571,"neutral,positive",positive
572,"positive,positive",positive
573,"positive,positive",positive
574,"negative,negative",negative
575,"negative,negative",negative
576,"positive,positive",positive
577,"neutral,positive",positive
578,"neutral,positive",positive
579,"neutral,positive",positive
580,"neutral,neutral",neutral
581,"neutral,neutral",neutral
582,"neutral,neutral",neutral
583,"neutral,positive",positive
584,"positive,positive",positive
585,"positive,positive",positive
586,"neutral,neutral",neutral
587,"neutral,neutral",neutral
588,"neutral,neutral",neutral
589,"negative,negative",negative
590,"neutral,positive",positive
591,"neutral,neutral",neutral
592,"neutral,positive",positive
593,"negative,negative",negative
594,"negative,positive",negative
595,"positive,positive",positive
596,"negative,negative",negative
597,"negative,negative",negative
598,"neutral,positive",positive
599,"negative,positive",negative
600,"neutral,positive",positive
601,"positive,positive",positive
602,"negative,negative",negative
603,"positive,positive",positive
604,"neutral,positive",positive
605,"neutral,positive",positive
606,"negative,negative",negative
607,"positive,positive",positive
608,"negative,neutral",negative
609,"neutral,neutral",neutral
610,"positive,neutral",positive
611,"positive,positive",positive
612,"positive,positive",positive
613,"positive,positive",positive
614,"neutral,neutral",neutral
615,"positive,positive",positive
616,"positive,positive",positive
617,"neutral,neutral",neutral
618,"neutral,neutral",neutral
619,"positive,positive",positive
620,"neutral,positive",positive
621,"neutral,neutral",neutral
622,"positive,neutral",positive
623,"neutral,neutral",neutral
624,"positive,positive",positive
625,"negative,negative",negative
626,"negative,positive",negative
627,"neutral,neutral",neutral
628,"negative,negative",negative
629,"positive,negative",positive
630,"neutral,positive",positive
631,"negative,positive",negative
632,"neutral,negative",negative
633,"neutral,negative",negative
634,"positive,positive",positive
635,"positive,positive",positive
636,"negative,negative",negative
637,"neutral,neutral",neutral
638,"neutral,positive",positive
639,"negative,positive",negative
640,"negative,positive",negative
641,"negative,negative",negative
642,"negative,negative",negative
643,"positive,positive",positive
644,"positive,positive",positive
645,"positive,positive",positive
646,"neutral,positive",positive
647,"positive,positive",positive
648,"neutral,neutral",neutral
649,"positive,positive",positive
650,"negative,positive",negative
651,"positive,positive",positive
652,"positive,positive",positive
653,"positive,positive",positive
654,"positive,positive",positive
655,"positive,positive",positive
656,"negative,negative",negative
657,"negative,negative",negative
658,"positive,positive",positive
659,"positive,positive",positive
660,"positive,positive",positive
661,"negative,negative",negative
662,"positive,positive",positive
663,"neutral,positive",positive
664,"negative,negative",negative
665,"positive,positive",positive
666,"positive,positive",positive
667,"negative,negative",negative
668,"negative,negative",negative
669,"neutral,neutral",neutral
670,"negative,positive",negative
671,"negative,negative",negative
672,"negative,negative",negative
673,"neutral,positive",positive
674,"positive,negative",positive
675,"positive,positive",positive
676,"neutral,negative",negative
677,"positive,neutral",positive
678,"neutral,neutral",neutral
679,"neutral,positive",positive
680,"negative,negative",negative
681,"neutral,positive",positive
682,"positive,positive",positive
683,"positive,positive",positive
684,"neutral,positive",positive
685,"neutral,negative",negative
686,"positive,positive",positive
687,"neutral,negative",negative
688,"positive,positive",positive
689,"negative,negative",negative
690,"negative,negative",negative
691,"positive,neutral",positive
692,"neutral,positive",positive
693,"neutral,neutral",neutral
694,"neutral,positive",positive
695,"positive,positive",positive
696,"neutral,positive",positive
697,"negative,neutral",negative
698,"positive,positive",positive
699,"neutral,negative",negative
700,"neutral,negative",negative
701,"negative,negative",negative
702,"neutral,positive",positive
703,"negative,neutral",negative
704,"positive,positive",positive
705,"positive,positive",positive
706,"positive,positive",positive
707,"positive,positive",positive
708,"neutral,neutral",neutral
709,"positive,positive",positive
710,"positive,positive",positive
711,"positive,positive",positive
712,"positive,positive",positive
713,"positive,positive",positive
714,"positive,positive",positive
715,"neutral,positive",positive
716,"positive,positive",positive
717,"positive,positive",positive
718,"neutral,neutral",neutral
719,"negative,negative",negative
720,"neutral,neutral",neutral
721,"neutral,positive",positive
722,"positive,positive",positive
723,"negative,neutral",negative
724,"neutral,positive",positive
725,"positive,positive",positive
726,"positive,neutral",positive
727,"negative,negative",negative
728,"positive,positive",positive
729,"positive,neutral",positive
730,"neutral,negative",negative
731,"neutral,negative",negative
732,"neutral,negative",negative
733,"neutral,positive",positive
734,"neutral,positive",positive
735,"neutral,positive",positive
736,"positive,positive",positive
737,"neutral,positive",positive
738,"negative,positive",negative
739,"positive,positive",positive
740,"positive,positive",positive
741,"positive,positive",positive
742,"positive,positive",positive
743,"positive,positive",positive
744,"positive,negative",positive
745,"neutral,positive",positive
746,"positive,neutral",positive
747,"positive,positive",positive
748,"positive,positive",positive
749,"negative,negative",negative
750,"negative,negative",negative
751,"neutral,positive",positive
752,"neutral,neutral",neutral
753,"neutral,neutral",neutral
754,"neutral,positive",positive
755,"neutral,neutral",neutral
756,"neutral,positive",positive
757,"positive,positive",positive
758,"neutral,positive",positive
759,"neutral,positive",positive
760,"neutral,neutral",neutral
761,"positive,neutral",positive
762,"positive,positive",positive
763,"positive,positive",positive
764,"neutral,positive",positive
765,"positive,positive",positive
766,"positive,positive",positive
767,"negative,positive",negative
768,"negative,negative",negative
769,"positive,positive",positive
770,"positive,positive",positive
771,"neutral,positive",positive
772,"negative,positive",negative
773,"positive,positive",positive
774,"positive,positive",positive
775,"negative,positive",negative
776,"negative,positive",negative
777,"positive,positive",positive
778,"neutral,negative",negative
779,"neutral,neutral",neutral
780,"neutral,neutral",neutral
781,"positive,positive",positive
782,"negative,negative",negative
783,"negative,negative",negative
784,"negative,neutral",negative
785,"neutral,positive",positive
786,"negative,negative",negative
787,"positive,neutral",positive
788,"neutral,neutral",neutral
789,"positive,positive",positive
790,"neutral,positive",positive
791,"positive,positive",positive
792,"neutral,positive",positive
793,"positive,neutral",positive
794,"neutral,neutral",neutral
795,"neutral,neutral",neutral
796,"neutral,positive",positive
797,"neutral,positive",positive
798,"neutral,positive",positive
799,"positive,positive",positive
800,"positive,positive",positive
801,"positive,positive",positive
802,"neutral,negative",negative
803,"neutral,positive",positive
804,"positive,positive",positive
805,"neutral,negative",negative
806,"positive,positive",positive
807,"positive,neutral",positive
808,"negative,negative",negative
809,"positive,neutral",positive
810,"positive,neutral",positive
811,"positive,positive",positive
812,"neutral,positive",positive
813,"positive,positive",positive
814,"positive,positive",positive
815,"positive,positive",positive
816,"positive,positive",positive
817,"positive,positive",positive
818,"negative,negative",negative
819,"negative,negative",negative
820,"positive,positive",positive
821,"positive,positive",positive
822,"positive,positive",positive
823,"neutral,positive",positive
824,"neutral,positive",positive
825,"neutral,neutral",neutral
826,"negative,negative",negative
827,"positive,positive",positive
828,"neutral,neutral",neutral
829,"neutral,positive",positive
830,"negative,negative",negative
831,"positive,positive",positive
832,"negative,negative",negative
833,"positive,neutral",positive
834,"positive,positive",positive
835,"neutral,positive",positive
836,"negative,negative",negative
837,"negative,negative",negative
838,"negative,negative",negative
839,"positive,neutral",positive
840,"positive,positive",positive
841,"positive,negative",positive
842,"positive,neutral",positive
843,"positive,positive",positive
844,"positive,positive",positive
845,"positive,positive",positive
846,"neutral,positive",positive
847,"neutral,neutral",neutral
848,"neutral,neutral",neutral
849,"neutral,positive",positive
850,"neutral,positive",positive
851,"positive,positive",positive
852,"positive,positive",positive
853,"neutral,positive",positive
854,"negative,neutral",negative
855,"neutral,positive",positive
856,"neutral,negative",negative
857,"neutral,neutral",neutral
858,"neutral,positive",positive
859,"neutral,positive",positive
860,"positive,positive",positive
861,"negative,negative",negative
862,"neutral,positive",positive
863,"neutral,neutral",neutral
864,"positive,positive",positive
865,"neutral,neutral",neutral
866,"negative,negative",negative
867,"neutral,negative",negative
868,"neutral,neutral",neutral
869,"negative,negative",negative
870,"neutral,neutral",neutral
871,"neutral,negative",negative
872,"neutral,positive",positive
873,"negative,positive",negative
874,"negative,negative",negative
875,"negative,negative",negative
876,"positive,positive",positive
877,"negative,negative",negative
878,"positive,positive",positive
879,"neutral,positive",positive
880,"negative,neutral",negative
881,"neutral,negative",negative
882,"neutral,negative",negative
883,"negative,negative",negative
884,"negative,negative",negative
885,"neutral,positive",positive
886,"neutral,negative",negative
887,"positive,neutral",positive
888,"positive,positive",positive
889,"neutral,positive",positive
890,"positive,positive",positive
891,"positive,positive",positive
892,"positive,positive",positive
893,"positive,positive",positive
894,"positive,positive",positive
895,"positive,positive",positive
896,"positive,positive",positive
897,"positive,positive",positive
898,"positive,neutral",positive
899,"negative,negative",negative
900,"positive,positive",positive
901,"negative,negative",negative
902,"positive,positive",positive
903,"positive,positive",positive
904,"positive,positive",positive
905,"neutral,neutral",neutral
906,"negative,negative",negative
907,"positive,positive",positive
908,"negative,negative",negative
909,"negative,negative",negative
910,"neutral,negative",negative
911,"neutral,neutral",neutral
912,"positive,positive",positive
913,"positive,neutral",positive
914,"positive,positive",positive
915,"positive,positive",positive
916,"positive,neutral",positive
917,"neutral,positive",positive
918,"neutral,positive",positive
919,"negative,negative",negative
920,"negative,negative",negative
921,"negative,negative",negative
922,"negative,negative",negative
923,"negative,negative",negative
924,"positive,positive",positive
925,"positive,neutral",positive
926,"positive,positive",positive
927,"neutral,neutral",neutral
928,"negative,negative",negative
929,"negative,negative",negative
930,"negative,neutral",negative
931,"neutral,negative",negative
932,"neutral,positive",positive
933,"neutral,positive",positive
934,"negative,negative",negative
935,"negative,negative",negative
936,"neutral,neutral",neutral
937,"negative,negative",negative
938,"neutral,neutral",neutral
939,"positive,positive",positive
940,"positive,positive",positive
941,"positive,positive",positive
942,"neutral,positive",positive
943,"negative,negative",negative
944,"negative,negative",negative
945,"positive,neutral",positive
946,"neutral,positive",positive
947,"negative,negative",negative
948,"neutral,positive",positive
949,"neutral,positive",positive
950,"positive,positive",positive
951,"negative,negative",negative
952,"negative,positive",negative
953,"neutral,positive",positive
954,"negative,neutral",negative
955,"positive,negative",positive
956,"negative,positive",negative
957,"negative,negative",negative
958,"positive,neutral",positive
959,"neutral,negative",negative
960,"negative,negative",negative
961,"negative,positive",negative
962,"neutral,neutral",neutral
963,"neutral,positive",positive
964,"positive,neutral",positive
965,"negative,negative",negative
966,"positive,positive",positive
967,"negative,negative",negative
968,"positive,positive",positive
969,"positive,neutral",positive
970,"neutral,positive",positive
971,"neutral,positive",positive
972,"negative,negative",negative
973,"positive,positive",positive
974,"positive,positive",positive
975,"positive,positive",positive
976,"positive,positive",positive
977,"positive,positive",positive
978,"positive,positive",positive
979,"positive,positive",positive
980,"positive,positive",positive
981,"neutral,positive",positive
982,"positive,positive",positive
983,"positive,positive",positive
984,"neutral,neutral",neutral
985,"neutral,neutral",neutral
986,"positive,positive",positive
987,"positive,positive",positive
988,"positive,positive",positive
989,"positive,positive",positive
990,"neutral,positive",positive
991,"positive,neutral",positive
992,"negative,negative",negative
993,"neutral,neutral",neutral
994,"neutral,neutral",neutral
995,"positive,neutral",positive
996,"positive,positive",positive
997,"neutral,positive",positive
998,"neutral,positive",positive
999,"neutral,neutral",neutral
1000,"positive,positive",positive
1001,"positive,positive",positive
1002,"positive,positive",positive
1003,"negative,positive",negative
1004,"positive,positive",positive
1005,"negative,negative",negative
1006,"neutral,positive",positive
1007,"neutral,positive",positive
1008,"positive,positive",positive
1009,"positive,positive",positive
1010,"negative,neutral",negative
1011,"positive,positive",positive
1012,"neutral,neutral",neutral
1013,"neutral,positive",positive
1014,"neutral,negative",negative
1015,"neutral,positive",positive
1016,"neutral,neutral",neutral
1017,"neutral,positive",positive
1018,"positive,positive",positive
1019,"neutral,positive",positive
1020,"neutral,positive",positive
1021,"positive,positive",positive
1022,"negative,negative",negative
1023,"neutral,positive",positive
1024,"positive,neutral",positive
1025,"neutral,positive",positive
1026,"neutral,neutral",neutral
1027,"neutral,negative",negative
1028,"neutral,neutral",neutral
1029,"neutral,positive",positive
1030,"positive,positive",positive
1031,"positive,positive",positive
1032,"positive,positive",positive
1033,"neutral,positive",positive
1034,"neutral,positive",positive
1035,"positive,positive",positive
1036,"positive,positive",positive
1037,"positive,positive",positive
1038,"positive,neutral",positive
1039,"neutral,positive",positive
1040,"positive,positive",positive
1041,"neutral,positive",positive
1042,"neutral,neutral",neutral
1043,"positive,positive",positive
1044,"neutral,neutral",neutral
1045,"neutral,neutral",neutral
1046,"negative,negative",negative
1047,"neutral,positive",positive
1048,"neutral,positive",positive
1049,"positive,positive",positive
1050,"negative,positive",negative
1051,"neutral,neutral",neutral
1052,"neutral,negative",negative
1053,"positive,neutral",positive
1054,"neutral,positive",positive
1055,"positive,positive",positive
1056,"neutral,negative",negative
1057,"positive,positive",positive
1058,"neutral,neutral",neutral
1059,"negative,negative",negative
1060,"negative,negative",negative
1061,"neutral,negative",negative
1062,"positive,positive",positive
1063,"positive,positive",positive
1064,"positive,positive",positive
1065,"positive,positive",positive
1066,"positive,neutral",positive
1067,"positive,positive",positive
1068,"neutral,neutral",neutral
1069,"negative,negative",negative
1070,"neutral,positive",positive
1071,"neutral,neutral",neutral
1072,"neutral,positive",positive
1073,"neutral,neutral",neutral
1074,"positive,positive",positive
1075,"positive,positive",positive
1076,"neutral,positive",positive
1077,"neutral,positive",positive
1078,"negative,negative",negative
1079,"neutral,positive",positive
1080,"neutral,positive",positive
1081,"positive,positive",positive
1082,"neutral,positive",positive
1083,"neutral,positive",positive
1084,"positive,positive",positive
1085,"positive,positive",positive
1086,"neutral,positive",positive
1087,"negative,negative",negative
1088,"neutral,positive",positive
1089,"neutral,neutral",neutral
1090,"neutral,negative",negative
1091,"positive,positive",positive
1092,"positive,positive",positive
1093,"positive,positive",positive
1094,"positive,positive",positive
1095,"positive,positive",positive
1096,"positive,positive",positive
